airQuality,illness,light,id,fire,sound,soilMoisture,pressure,waterLevel,temperature,humidity,createdAt
1016.0,Normal,533.0,483,81.0,443.0,1.0,100.3586,7.0,25.0,17.0,2019-03-23 20:15:53.315
1016.0,Normal,532.0,482,82.0,442.0,1.0,101.7344,7.0,25.0,17.0,2019-03-23 20:15:42.25
1016.0,Normal,542.0,481,80.0,449.0,1.0,101.4449,6.0,25.0,17.0,2019-03-23 20:15:31.193
1016.0,Normal,543.0,480,82.0,449.0,1.0,101.226,7.0,25.0,17.0,2019-03-23 20:15:20.114
1017.0,Normal,531.0,479,82.0,441.0,1.0,100.5743,6.0,25.0,17.0,2019-03-23 20:15:09.048
1016.0,Normal,543.0,478,82.0,451.0,1.0,100.1626,8.0,25.0,17.0,2019-03-23 20:14:57.988
1017.0,Normal,539.0,477,81.0,447.0,1.0,100.0316,6.0,25.0,17.0,2019-03-23 20:14:46.921
1014.0,Normal,539.0,476,81.0,446.0,1.0,101.9533,7.0,25.0,16.0,2019-03-23 20:14:35.852
1016.0,Normal,543.0,475,81.0,450.0,1.0,100.6477,7.0,25.0,16.0,2019-03-23 20:14:24.784
1017.0,Normal,543.0,474,81.0,450.0,1.0,100.7944,7.0,25.0,17.0,2019-03-23 20:14:13.718
1019.0,Normal,540.0,473,80.0,447.0,1.0,100.8809,6.0,25.0,17.0,2019-03-23 20:14:02.652
1018.0,Normal,539.0,472,81.0,447.0,1.0,100.3777,7.0,25.0,17.0,2019-03-23 20:13:51.585
1017.0,Normal,543.0,471,80.0,450.0,1.0,101.8377,7.0,25.0,17.0,2019-03-23 20:13:40.542
1016.0,Normal,542.0,470,81.0,449.0,1.0,100.6163,7.0,25.0,17.0,2019-03-23 20:13:29.47
1016.0,Normal,534.0,469,81.0,443.0,1.0,100.7503,6.0,25.0,17.0,2019-03-23 20:13:18.402
1016.0,Normal,544.0,468,81.0,451.0,1.0,101.7053,7.0,25.0,16.0,2019-03-23 20:13:07.318
1016.0,Normal,543.0,467,81.0,450.0,1.0,100.5944,7.0,25.0,16.0,2019-03-23 20:12:56.253
1016.0,Normal,544.0,466,81.0,451.0,1.0,100.4442,7.0,25.0,17.0,2019-03-23 20:12:45.191
1016.0,Normal,544.0,465,81.0,451.0,1.0,101.6433,6.0,25.0,17.0,2019-03-23 20:12:34.118
1017.0,Normal,537.0,464,81.0,444.0,1.0,100.9505,5.0,25.0,17.0,2019-03-23 20:12:23.052
1015.0,Normal,537.0,463,81.0,445.0,1.0,101.9503,7.0,25.0,17.0,2019-03-23 20:12:11.987
1018.0,Normal,543.0,462,81.0,449.0,1.0,100.1408,6.0,25.0,16.0,2019-03-23 20:12:00.925
1016.0,Normal,545.0,461,81.0,452.0,1.0,100.1241,6.0,25.0,17.0,2019-03-23 20:11:49.858
1017.0,Normal,538.0,460,81.0,446.0,1.0,101.4753,7.0,25.0,16.0,2019-03-23 20:11:38.872
1016.0,Normal,534.0,459,81.0,444.0,1.0,100.5778,7.0,25.0,17.0,2019-03-23 20:11:27.725
1016.0,Normal,539.0,458,81.0,447.0,1.0,101.5445,7.0,25.0,16.0,2019-03-23 20:11:16.656
1016.0,Normal,535.0,457,81.0,444.0,1.0,101.0281,7.0,25.0,16.0,2019-03-23 20:11:05.603
1017.0,Normal,533.0,456,80.0,443.0,1.0,100.7081,7.0,25.0,16.0,2019-03-23 20:10:54.523
1016.0,Normal,536.0,455,81.0,445.0,1.0,101.5102,7.0,25.0,16.0,2019-03-23 20:10:43.454
1017.0,Normal,539.0,454,81.0,446.0,1.0,100.5498,7.0,25.0,16.0,2019-03-23 20:10:32.409
1016.0,Normal,537.0,453,81.0,445.0,1.0,101.9433,6.0,25.0,16.0,2019-03-23 20:10:21.324
1016.0,Normal,531.0,452,81.0,440.0,1.0,101.4257,6.0,25.0,16.0,2019-03-23 20:10:10.258
1016.0,Normal,541.0,451,81.0,448.0,1.0,100.8636,7.0,25.0,16.0,2019-03-23 20:09:59.189
1017.0,Normal,545.0,450,81.0,451.0,1.0,101.3551,6.0,25.0,17.0,2019-03-23 20:09:48.146
